name_dutch,name_english,formula
Naftaleen,Naphthalene,C10H8
Benzeen,Benzene,C6H6
Tolueen,Toluene,C7H8
Xyleen,Xylene,C8H10
Koolmonoxide (CO),Carbon monoxide (CO),CO
Waterstofsulfide (H2S),Hydrogen Sulfide (H2S),H2S
Ammoniak (NH3),Ammonia (NH3),NH3
Stikstofmonoxide (NO),Nitrogen monoxide (NO),NO
Stikstofdioxide (NO2),Nitrogen dioxide (NO2),NO2
Fijn stof (PM10),Particulate matter (PM10),PM10
Fijn stof (PM2.5),Particulate matter (PM2.5),PM25
Ultra fine particles (UFP),Ultra fine particles (UFP),PS
Zwaveldioxide (SO2),Sulphur dioxide (SO2),SO2
